,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
168,835,344,138,360,176,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,376,304,384,389
169,840,344,138,360,176,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,376,304,384,389
170,845,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,376,304,384,389
171,850,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,376,309,384,362
172,855,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,376,309,384,362
173,860,344,138,360,176,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,376,309,384,389
174,865,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,376,309,384,389
175,870,352,138,360,170,328,170,304,149,336,128,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,376,304,384,394
176,875,352,138,360,170,328,170,304,144,336,128,392,176,392,218,392,261,360,245,336,245,336,298,336,394,376,250,376,309,368,357
177,880,352,138,360,170,328,170,304,144,336,122,392,176,392,218,392,261,360,245,336,245,336,298,336,394,376,245,376,298,384,394
