,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
143,710,424,160,400,197,376,197,328,202,280,197,432,197,472,192,520,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
144,715,424,160,400,197,376,197,328,202,280,197,432,197,472,192,520,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
145,720,424,160,400,197,376,197,328,202,280,197,432,192,472,192,520,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
146,725,424,160,400,197,376,197,328,202,280,197,432,192,480,186,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
147,730,424,160,400,197,376,197,328,202,280,197,432,192,472,186,520,181,400,288,384,288,336,336,280,378,424,288,480,304,488,378
148,735,424,160,400,197,376,197,328,202,280,197,432,192,480,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
149,740,424,160,400,197,376,197,328,202,280,197,432,192,480,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
150,745,424,160,400,197,376,197,328,202,280,197,432,192,480,186,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
151,750,424,160,400,197,376,197,328,202,280,197,432,192,480,186,520,181,400,293,384,293,336,336,280,378,424,288,480,304,488,378
152,755,424,160,400,192,368,197,328,202,280,197,432,192,480,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
153,760,424,160,400,192,376,197,328,202,280,197,432,192,472,186,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
154,765,424,160,400,192,376,197,328,202,280,197,432,192,472,186,520,181,400,288,384,288,336,336,280,378,424,288,480,304,488,378
155,770,424,160,400,192,376,197,328,202,280,197,432,192,472,186,520,181,400,288,384,288,336,336,280,378,424,288,480,304,488,378
156,775,408,154,400,192,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
157,780,408,154,400,192,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
158,785,400,154,400,192,368,197,328,202,280,197,432,192,480,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
159,790,400,154,400,192,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
160,795,400,154,400,192,376,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
161,800,400,154,400,192,368,192,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
162,805,400,154,400,192,376,192,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
163,810,400,154,400,192,376,192,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
164,815,400,154,400,192,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
165,820,400,154,400,192,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
166,825,400,154,400,192,376,197,328,202,288,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
167,830,400,154,400,192,368,192,328,197,280,197,432,192,472,186,520,181,400,288,376,288,336,336,280,378,424,288,480,304,488,378
168,835,400,149,400,186,368,186,320,192,280,192,424,186,472,181,512,176,400,282,376,282,328,336,272,378,416,282,472,304,488,378
169,840,392,144,392,181,360,181,320,186,272,186,424,181,464,176,512,176,392,277,368,277,328,330,272,384,416,277,464,304,480,378
170,845,384,138,392,176,360,181,312,181,272,181,416,176,464,170,512,170,384,277,360,277,320,330,272,378,408,277,464,309,480,378
171,850,384,133,384,176,352,176,312,181,264,176,416,170,456,170,504,165,384,272,360,272,320,330,272,378,408,272,456,309,480,378
172,855,376,133,376,170,352,176,304,176,264,176,408,170,456,165,496,160,376,272,352,272,312,330,272,378,400,272,448,314,480,378
173,860,376,133,376,170,352,170,304,176,256,176,408,170,448,165,496,160,376,272,352,266,320,325,272,378,400,272,440,314,480,378
174,865,376,133,376,170,344,170,304,176,256,170,408,165,448,165,496,160,376,266,352,261,440,320,480,378,392,266,312,330,272,378
175,870,376,133,376,170,344,170,296,176,256,170,400,165,448,165,496,160,376,261,352,261,440,325,480,378,392,261,312,330,272,378
176,875,376,128,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,266,312,325,480,378,392,266,432,325,272,378
177,880,376,128,376,170,344,170,296,176,256,170,400,165,448,165,496,160,376,266,352,266,312,325,272,378,392,266,432,325,480,378
178,885,376,128,376,170,344,170,296,176,256,170,400,165,448,165,496,160,376,266,352,266,312,325,272,378,400,266,432,325,480,378
179,890,376,128,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,266,312,325,480,378,400,266,432,325,480,378
180,895,376,128,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,261,440,330,480,378,392,266,312,330,272,378
181,900,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,261,312,325,480,378,400,266,432,325,480,373
182,905,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,266,312,325,272,378,400,266,432,325,480,378
183,910,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,266,440,330,480,378,400,266,432,325,272,378
184,915,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,160,376,266,352,261,440,325,480,378,392,266,312,330,272,378
185,920,368,133,376,170,344,170,296,176,248,170,400,165,448,165,488,160,376,266,352,266,440,325,480,378,392,266,312,330,272,378
186,925,368,133,376,170,344,170,296,176,256,176,400,165,448,165,488,160,376,266,352,266,440,330,480,378,392,266,312,330,272,378
187,930,368,133,376,170,344,170,296,176,248,170,400,165,448,165,488,160,376,266,352,266,440,330,480,378,392,266,312,330,272,378
188,935,368,133,376,170,344,170,296,176,248,170,400,165,448,165,488,160,376,266,352,266,440,330,480,378,400,266,312,330,272,378
189,940,368,133,376,170,344,170,296,176,256,170,400,165,456,165,496,160,376,266,352,266,440,325,480,378,392,266,312,330,272,378
190,945,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,165,376,266,392,266,440,330,480,378,392,266,312,330,272,378
191,950,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,165,376,266,352,261,440,330,480,378,392,261,312,330,272,378
192,955,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,165,376,266,352,266,432,325,480,378,400,266,432,325,272,378
193,960,376,133,376,170,344,170,296,176,256,170,400,170,448,165,496,165,376,266,352,266,312,325,272,384,400,266,440,325,480,378
194,965,376,133,376,170,344,170,296,176,256,170,400,165,448,165,496,165,376,266,352,266,312,325,272,378,400,266,440,325,480,378
195,970,368,133,376,170,344,170,296,176,256,170,400,165,448,165,488,165,376,266,352,266,312,325,272,378,400,266,440,325,480,378
196,975,376,133,368,170,344,170,296,176,256,170,400,165,440,165,488,160,376,266,352,266,440,325,480,378,400,266,432,320,272,378
197,980,368,138,368,165,336,170,296,170,248,165,400,165,448,165,488,160,376,266,352,266,312,325,272,378,400,266,432,320,480,378
198,985,368,133,368,165,336,165,296,170,248,165,400,165,440,165,488,160,368,266,344,266,312,325,272,378,392,266,432,325,480,378
199,990,368,122,368,165,336,165,296,165,256,160,400,160,440,160,488,154,376,256,360,256,432,325,472,384,400,256,320,325,280,378
200,995,368,122,368,160,344,165,296,165,256,160,400,160,448,160,488,154,376,256,360,256,432,325,472,378,400,256,320,325,280,384
201,1000,368,122,368,160,344,165,296,165,256,160,400,160,448,160,488,154,376,256,360,256,432,325,472,384,400,256,320,325,280,378
202,1005,368,122,368,165,344,165,296,165,256,165,400,160,448,160,488,160,376,256,360,256,432,320,472,378,392,256,320,325,280,378
203,1010,368,122,368,165,344,165,296,170,256,165,400,160,448,160,488,154,376,256,352,256,432,325,472,384,400,256,320,325,280,378
204,1015,368,122,368,165,344,165,296,165,256,165,400,160,448,160,488,160,376,256,352,256,432,325,472,384,392,256,320,325,280,378
205,1020,368,122,368,165,344,165,296,165,256,165,400,165,448,160,488,160,376,256,352,256,432,325,472,384,400,256,320,325,280,378
206,1025,368,122,368,165,344,165,296,165,256,165,400,160,448,160,488,160,376,256,352,256,432,325,472,384,400,256,320,325,280,378
207,1030,368,122,368,165,336,165,296,170,256,165,400,160,448,160,488,160,376,256,352,256,432,325,472,384,392,256,320,325,280,378
